AuctionID,AuctionDate,AuctionHouseID
1,2024-01-15,1
2,2024-02-20,2
3,2024-03-10,3
4,2024-04-05,4
5,2024-05-18,5
6,2024-06-01,6
7,2024-06-15,7
8,2024-07-05,8
9,2024-07-20,9
10,2024-08-02,10
11,2024-08-18,11
12,2024-09-10,12
13,2024-09-25,13
14,2024-10-05,14
15,2024-10-20,15
16,2024-11-10,16
17,2024-11-25,17
18,2024-12-05,18
19,2024-12-20,19
20,2024-12-31,20
21,2024-01-10,21
22,2024-02-05,22
23,2024-03-15,23
24,2024-04-01,24
25,2024-05-10,25
26,2024-06-20,1
27,2024-07-15,2
28,2024-08-01,3
29,2024-09-05,4
30,2024-10-10,5
