BidID,BidAmount,BidDate,CarID,BidderID
1,30000.00,2024-06-01 10:00:00,1,1
2,32000.00,2024-06-01 11:00:00,1,2
3,25000.00,2024-06-05 12:00:00,2,3
4,26000.00,2024-06-05 13:00:00,2,4
5,27000.00,2024-06-10 14:00:00,3,5
6,28000.00,2024-06-10 15:00:00,3,6
7,29000.00,2024-06-15 16:00:00,4,7
8,30000.00,2024-06-15 17:00:00,4,8
9,31000.00,2024-06-20 18:00:00,5,9
10,32000.00,2024-06-20 19:00:00,5,10
11,33000.00,2024-06-25 20:00:00,6,11
12,34000.00,2024-06-25 21:00:00,6,12
13,35000.00,2024-07-01 22:00:00,7,13
14,36000.00,2024-07-01 23:00:00,7,14
15,37000.00,2024-07-05 10:00:00,8,15
16,38000.00,2024-07-05 11:00:00,8,16
17,39000.00,2024-07-10 12:00:00,9,17
18,40000.00,2024-07-10 13:00:00,9,18
19,41000.00,2024-07-15 14:00:00,10,19
20,42000.00,2024-07-15 15:00:00,10,20
21,43000.00,2024-07-20 16:00:00,11,21
22,44000.00,2024-07-20 17:00:00,11,22
23,45000.00,2024-07-25 18:00:00,12,23
24,46000.00,2024-07-25 19:00:00,12,24
25,47000.00,2024-08-01 20:00:00,13,25
26,48000.00,2024-08-01 21:00:00,14,1
27,49000.00,2024-08-05 10:00:00,14,2
28,50000.00,2024-08-05 11:00:00,15,3
29,51000.00,2024-08-10 12:00:00,15,4
30,52000.00,2024-08-10 13:00:00,16,5
31,53000.00,2024-08-15 14:00:00,16,6
32,54000.00,2024-08-15 15:00:00,17,7
33,55000.00,2024-08-20 16:00:00,17,8
34,56000.00,2024-08-20 17:00:00,18,9
35,57000.00,2024-08-25 18:00:00,18,10
36,58000.00,2024-08-25 19:00:00,19,11
37,59000.00,2024-09-01 20:00:00,19,12
38,60000.00,2024-09-01 21:00:00,20,13
39,61000.00,2024-09-05 10:00:00,20,14
40,62000.00,2024-09-05 11:00:00,21,15
41,63000.00,2024-09-10 12:00:00,21,16
42,64000.00,2024-09-10 13:00:00,22,17
43,65000.00,2024-09-15 14:00:00,22,18
44,66000.00,2024-09-15 15:00:00,23,19
45,67000.00,2024-09-20 16:00:00,23,20
46,68000.00,2024-09-20 17:00:00,24,21
47,69000.00,2024-09-25 18:00:00,24,22
48,70000.00,2024-09-25 19:00:00,25,23
49,71000.00,2024-10-01 20:00:00,25,24
50,72000.00,2024-10-01 21:00:00,1,25
